State ,Budget_2014,Budget_2015,Budget_2016
Alabama,2875991324,2929283305,3053932288
Alaska,425276011,445792878,456635005
Arizona,7477469186,7641077155,7981741082
Arkansas,1405013760,1419774860,1464872811
California,16816137363,17088237034,17803268621
Colorado,2965284074,3027497764,3158166524
Connecticut,1656657510,1689404269,1751745595
Delaware,494499654,502781642,521825598
Florida,9992845894,10166202212,10623522908
Georgia,5183160670,5284301567,5540462845
Hawaii,494017469,499998285,517621125
Idaho,743821754,753192367,782420357
Illinois,7649445916,7817166464,8170869666
Indiana,4187494655,4259796966,4449701053
Iowa,2775868884,2848005895,2975816717
Kansas,1611277229,1632552541,1716917605
Kentucky,2346257238,2376680514,2480188340
Louisiana,2240881517,2268285682,2384286206
Maine,705625906,714342421,742226992
Maryland,2561599476,2601772067,2718937482
Massachusetts,3890410364,3997172514,4167295567
Michigan,5755325242,5844678221,6080750602
Minnesota,4593669240,4719373275,4938837193
Mississippi,1560533444,1587956072,1650014134
Missouri,3573389123,3653491605,3812051414
Montana,473923372,484519932,500855492
Nebraska,1039436982,1059734863,1102327281
Nevada,902732832,915723042,968043653
New Hampshire,1210270110,1236165729,1293321749
New Jersey,3356473984,3441105084,3582704741
New Mexico,964642121,992559825,1032326086
New York,10508839360,10740841481,11218667576
North Carolina,4317675175,4396051806,4578311630
North Dakota,414318107,423625072,442238192
Ohio,6152376231,6250979655,6533633478
Oklahoma,1743623228,1776575394,1843720846
Oregon,2283322909,2321534742,2408479897
Pennsylvania,7320042265,7469394935,7789574306
Rhode Island,684170148,695365859,719375958
South Carolina,2293325823,2344906118,2446631330
South Dakota,628689492,646418590,672035159
Tennessee,3124759155,3174775140,3327837520
Texas,11254325647,11429361489,11904115213
Utah,1705293430,1734188986,1796028865
Vermont,394996828,400805438,412206831
Virginia,5108238382,5245095386,5471429814
Washington,2525362924,2587446888,2694008709
West Virginia,1325717807,1353456486,1395598939
Wisconsin,2737880766,2786608770,2896711238
Wyoming,239440159,241880738,252445432
