"Rate per 100,000 inhabitants",Crime Index Total,Modified Crime Index Total1,Violent Crime2,Property Crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1
ALABAMA,4545.9,,486.2,4059.7,7.4,33.3,128.2,317.2,906.9,2864.8,288,
ALASKA,4249.4,,566.9,3682.5,4.3,79.3,78.2,405.1,621.9,2685.8,374.8,
ARIZONA,5829.5,,531.7,5297.8,7,30.7,146.3,347.7,1011.6,3444.1,842.1,
ARKANSAS,4115.3,,445.3,3670,6.3,31.7,74.8,332.4,802.1,2608.7,259.3,
CALIFORNIA,3739.7,,621.6,3118.2,6.1,28.9,177.9,408.7,656.3,1924.5,537.4,
COLORADO,3982.6, ,334,3648.6,3.1,41.2,70.5,219.1,630.8,2623.5,394.3,
CONNECTICUT,3232.7, ,324.7,2908,2.9,19.9,112.5,189.4,512,2011.4,384.6,
DELAWARE,4478.1,,684.4,3793.6,3.2,54.1,177.9,449.2,665.6,2725.9,402.1,
FLORIDA,5694.7, ,812,4882.7,5.6,44.2,199,563.2,1081.8,3242.9,558,
GEORGIA,4751.1, ,504.7,4246.4,8,24,161.9,310.9,836.6,2937,472.8,
HAWAII,5198.9, ,243.8,4955.1,2.9,28.6,92.7,119.7,880.3,3570.2,504.6,
IDAHO,3186.2, ,252.5,2933.7,1.2,29.7,17.2,204.3,566.5,2206,161.2,
ILLINOIS,4286.2, ,656.8,3629.4,7.2,32.9,207.4,409.3,659.6,2517.8,452.1,
INDIANA,3751.9, ,349.1,3402.8,5.8,28.9,103.3,211.1,676.1,2379.9,346.8,
IOWA,3233.7, ,266.4,2967.3,1.6,23.1,36.6,205.1,558.4,2225.2,183.6,
KANSAS,4408.8, ,389.4,4019.4,6.3,38,76.2,269,799.1,2978.6,241.6,
KENTUCKY,2959.7, ,294.5,2665.2,4.8,27,80.6,182.2,626.2,1809.6,229.5,
LOUISIANA,5422.8, ,681.1,4741.7,12.5,33.5,168.5,466.6,1035.8,3229.9,475.9,
MAINE,2619.8, ,109.6,2510.2,1.2,25.1,19.4,63.9,531.4,1875.1,103.7,
MARYLAND,4816.1, ,786.6,4029.5,8.1,29.1,256,493.3,744.4,2745.7,539.5,
MASSACHUSETTS,3026.1, ,476.1,2550,2,26.7,91.6,355.9,482,1660.5,407.6,
MICHIGAN,4109.9, ,555,3554.9,6.7,50.6,138,359.7,702.2,2291.9,560.7,
MINNESOTA,3488.4, ,280.8,3207.6,3.1,45.5,75.5,156.7,530.9,2403.7,273,
MISSISSIPPI,4004.4, ,360.9,3643.5,9,35.8,95,221.1,946.3,2452.2,245,
MISSOURI,4527.8, ,490,4037.7,6.2,24.1,135.8,323.9,745,2851.3,441.4,
MONTANA,3533.4, ,240.6,3292.7,1.8,33.4,27.6,177.9,437.4,2638.6,216.8,
NEBRASKA,4095.5, ,327.6,3767.9,3.7,25.5,67,231.4,592,2870.3,305.6,
NEVADA,4268.6, ,524.2,3744.4,6.5,43,227.3,247.3,877.1,2208.2,659.2,
NEW HAMPSHIRE,2433.1, ,175.4,2257.8,1.8,42.2,36.7,94.7,404,1680,173.8,
NEW JERSEY,3160.5, ,383.8,2776.6,3.4,16.1,161.1,203.2,522,1848.8,405.9,
NEW MEXICO,5518.9, ,757.9,4761,7.4,50.7,137.4,562.4,1173.1,3184.4,403.6,
NEW YORK,3099.6, ,553.9,2545.7,5,18.6,213.6,316.7,463.4,1796.4,285.8,
NORTH CAROLINA,4919.3,,497.6,4421.8,7,27.1,156.5,307,1216.1,2891.8,313.9,
NORTH DAKOTA,2288.1, ,81.4,2206.6,0.6,26.3,8.7,45.8,325.9,1727.2,153.5,
OHIO,4041.8, ,334.1,3707.7,3.7,37.6,137.5,155.3,780.7,2583.2,343.7,
OKLAHOMA,4558.6, ,497.8,4060.8,5.3,41.2,75.8,375.5,917.5,2785.4,357.8,
OREGON,4845.4, ,350.7,4494.7,2,37.6,84.4,226.7,748.8,3338.7,407.2,
PENNSYLVANIA,2995.3, ,420,2575.3,4.9,26.4,147.8,240.9,440.4,1839.2,295.8,
RHODE ISLAND,3476.4, ,297.7,3178.7,4.3,39.3,88,166.2,631.5,2102.2,445,
SOUTH CAROLINA,5221.4, ,804.9,4416.5,5.8,37.7,146.6,614.8,969.3,3068.1,379,
SOUTH DAKOTA,2319.8, ,166.8,2153,0.9,40.4,17.4,108.1,383.7,1663.7,105.7,
TENNESSEE,4890.2, ,707.2,4183,7.2,38.4,166.4,495.2,990.4,2708.8,483.9,
TEXAS,4955.5, ,545.1,4410.4,5.9,37.7,145.1,356.3,906.3,3057.4,446.8,
UTAH,4476.1, ,255.7,4220.3,1.9,38.6,55.6,159.5,642.5,3288.5,289.3,
VERMONT,2986.9, ,113.5,2873.4,1.5,23,19.2,69.8,575,2165.5,132.9,
VIRGINIA,3028.1, ,281.7,2746.4,5.7,22.8,88.9,164.3,429.9,2064.8,251.6,
WASHINGTON,5105.6, ,369.7,4736,3.3,46.4,98.6,221.3,907.3,3234.6,594.1,
WEST VIRGINIA,2602.8, ,316.5,2286.3,2.5,18.3,41.4,254.2,546.9,1556.1,183.3,
WISCONSIN,3209.1, ,236.8,2972.3,3.2,21.7,84.6,127.3,469.5,2229.9,272.9,
WYOMING,3298, ,266.5,3031.5,2.4,32.4,14.2,217.5,420.8,2494.6,116,
