Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4530182,19324,254,1742,6042,11286,182340,44666,123650,14024
ALASKA,655435,4159,37,558,447,3117,22172,3773,16159,2240
ARIZONA,5743834,28952,414,1896,7721,18921,306747,56885,194556,55306
ARKANSAS,2752629,13737,176,1166,2372,10023,110464,30099,73874,6491
CALIFORNIA,35893799,198070,2392,9615,61768,124295,1227194,245903,728687,252604
COLORADO,4601403,17185,203,1956,3750,11276,180342,33008,123271,24063
CONNECTICUT,3503604,10032,91,724,4222,4995,92046,15570,65451,11025
DELAWARE,830364,4720,17,345,1218,3140,26272,5383,18742,2147
FLORIDA,17397161,123754,946,6612,29997,86199,727141,166332,482484,78325
GEORGIA,8829383,40217,613,2387,13656,23561,376656,82992,249426,44238
HAWAII,1262840,3213,33,333,944,1903,60525,10827,41078,8620
IDAHO,1393262,3412,30,570,240,2572,38933,7626,28583,2724
ILLINOIS,12713634,69026,776,4216,22532,41502,405070,75944,288771,40355
INDIANA,6237569,20294,316,1803,6373,11802,211929,42168,148670,21091
IOWA,2954451,8003,46,790,1124,6043,85836,18174,62258,5404
KANSAS,2735502,10245,123,1104,1813,7205,108694,19999,80260,8435
KENTUCKY,4145922,10152,236,1238,3268,5410,105209,25902,70535,8772
LOUISIANA,4515770,28844,574,1616,6564,20090,199153,45359,134080,19714
MAINE,1317253,1364,18,315,289,742,31740,6341,24096,1303
MARYLAND,5558058,38932,521,1316,12761,24334,202326,36682,129786,35858
MASSACHUSETTS,6416505,29437,169,1799,7467,20002,157825,34469,101303,22053
MICHIGAN,10112620,49577,643,5486,11320,32128,309208,64394,194259,50555
MINNESOTA,5100958,13751,113,2123,4070,7445,155019,28048,113453,13518
MISSISSIPPI,2902966,8568,227,1161,2503,4677,100980,27661,65440,7879
MISSOURI,5754618,28226,354,1479,6630,19763,224629,40472,158264,25893
MONTANA,926865,2723,30,273,233,2187,27215,3515,22082,1618
NEBRASKA,1747214,5393,40,620,1138,3595,61512,9826,46399,5287
NEVADA,2334771,14379,172,954,4905,8348,98215,23142,52438,22635
NEW HAMPSHIRE,1299500,2170,18,459,500,1193,26511,4966,19603,1942
NEW JERSEY,8698879,30943,392,1331,13076,16144,211313,41030,139977,30306
NEW MEXICO,1903289,13081,169,1039,2062,9811,79895,19924,52069,7902
NEW YORK,19227088,84914,889,3608,33506,46911,422734,70696,311036,41002
NORTH CAROLINA,8541221,38244,532,2339,11782,23591,355328,101193,227147,26988
NORTH DAKOTA,634366,504,9,159,39,297,12158,1910,9342,906
OHIO,11459011,39163,517,4646,17543,16457,420910,96954,283103,40853
OKLAHOMA,3523553,17635,186,1557,3090,12802,149472,35244,101271,12957
OREGON,3594586,10724,90,1283,2751,6600,166475,30072,117868,18535
PENNSYLVANIA,12406292,50998,650,3535,18474,28339,299611,54443,214199,30969
RHODE ISLAND,1080632,2673,26,320,731,1596,31166,5465,21623,4078
SOUTH CAROLINA,4198068,32922,288,1718,5446,25470,189113,43425,130051,15637
SOUTH DAKOTA,770883,1322,18,338,114,852,14905,3149,10910,846
TENNESSEE,5900962,41024,351,2220,8840,29613,254123,60205,169169,24749
TEXAS,22490022,121554,1364,8388,35817,75985,1010702,220118,696507,94077
UTAH,2389039,5639,46,933,1236,3424,97607,15221,74735,7651
VERMONT,621394,696,16,152,76,452,14343,3386,10382,575
VIRGINIA,7459827,20559,391,1766,6906,11496,199668,28793,153464,17411
WASHINGTON,6203788,21330,190,2857,5866,12417,300837,60632,196972,43233
WEST VIRGINIA,1815354,4924,68,320,768,3768,45497,10932,30826,3739
WISCONSIN,5509026,11548,154,1136,4067,6191,146710,23854,111482,11374
WYOMING,506529,1163,11,112,67,973,16889,2738,13352,799
