State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
ALABAMA,4779736,18056,273,1349,4761,11673,168092,42034,115458,10600
ALASKA,710231,4537,31,533,594,3379,20259,3105,15535,1619
ARIZONA,6392017,26085,409,2165,6937,16574,225893,50771,153614,21508
ARKANSAS,2915918,14735,138,1312,2372,10913,103775,32511,65720,5544
CALIFORNIA,37253956,164133,1809,8331,58116,95877,981939,228857,600558,152524
COLORADO,5029196,16133,120,2198,3132,10683,134992,26153,97592,11247
CONNECTICUT,3574097,10057,130,583,3553,5791,78386,15172,56507,6707
DELAWARE,897934,5575,48,312,1829,3386,30963,7515,21519,1929
FLORIDA,18801310,101969,987,5373,26086,69523,669035,169119,458454,41462
GEORGIA,9687653,39072,558,2093,12373,24048,352679,96723,225651,30305
HAWAII,1360301,3574,24,365,1054,2131,45083,8663,31320,5100
IDAHO,1567582,3465,21,525,214,2705,31286,6502,23462,1322
ILLINOIS,12830632,55835,706,3033,20054,32042,343989,75399,239794,28796
INDIANA,6483802,20389,292,1761,6219,12117,197260,47115,137027,13118
IOWA,3046355,8333,39,836,1011,6447,68315,16656,47883,3776
KANSAS,2853118,10531,100,1107,1544,7780,89015,19404,63602,6009
KENTUCKY,4339367,10528,187,1381,3748,5212,110709,30311,74189,6209
LOUISIANA,4533372,24886,510,1233,5211,17932,165357,45435,110029,9893
MAINE,1328361,1621,24,389,414,794,32934,7359,24585,990
MARYLAND,5773552,31620,430,1227,11054,18909,173051,36542,118458,18051
MASSACHUSETTS,6547629,30553,210,1745,6874,21724,153905,37767,104685,11453
MICHIGAN,9883640,48460,567,4673,11493,31727,268201,73868,166980,27353
MINNESOTA,5303925,12515,96,1798,3388,7233,136431,24415,103429,8587
MISSISSIPPI,2967297,8003,208,927,2779,4089,88574,30444,52770,5360
MISSOURI,5988927,27252,420,1432,6132,19268,200414,44043,140320,16051
MONTANA,989415,2693,26,321,157,2189,25169,3654,19989,1526
NEBRASKA,1826341,5104,54,672,1025,3353,48821,8326,36881,3614
NEVADA,2700551,17841,158,965,5298,11420,74932,22226,42521,10185
NEW HAMPSHIRE,1316470,2198,13,412,451,1322,28782,5441,22373,968
NEW JERSEY,8791894,27055,371,981,11818,13885,183042,38732,128754,15556
NEW MEXICO,2059179,12126,142,958,1614,9412,70742,21014,44481,5247
NEW YORK,19378102,75977,866,2771,28473,43867,376161,64973,290755,20433
NORTH CAROLINA,9535483,34653,476,2013,9610,22554,328719,102690,207719,18310
NORTH DAKOTA,672591,1513,10,237,90,1176,11895,1966,9070,859
OHIO,11536504,36366,476,3699,16479,15712,374381,106521,246742,21118
OKLAHOMA,3751351,17987,195,1450,3337,13005,128126,37476,80460,10190
OREGON,3831074,9655,91,1214,2390,5960,115428,19637,86879,8912
PENNSYLVANIA,12702379,46514,657,3415,16362,26080,276023,55171,204183,16669
RHODE ISLAND,1052567,2701,29,296,780,1596,26910,6121,18390,2399
SOUTH CAROLINA,4625364,27648,280,1466,4982,20920,180407,46156,121054,13197
SOUTH DAKOTA,814180,2186,23,390,154,1619,15082,3181,11106,795
TENNESSEE,6346105,38921,357,2138,8366,28060,232132,64235,153062,14835
TEXAS,25145561,113231,1249,7622,32843,71517,951246,228597,654626,68023
UTAH,2763885,5879,53,948,1268,3610,87880,15017,66914,5949
VERMONT,625741,815,7,132,74,602,14281,3366,10474,441
VIRGINIA,8001024,17087,369,1532,5657,9529,186196,30629,145019,10548
WASHINGTON,6724540,21101,152,2562,5929,12458,249253,55164,168360,25729
WEST VIRGINIA,1852994,5830,62,354,828,4586,41500,10756,28383,2361
WISCONSIN,5686986,14142,155,1187,4504,8296,142612,26566,107908,8138
WYOMING,563626,1104,8,164,76,856,13874,2149,11134,591
